C,Si,Mn,Cr,Sn,Cu,Ni,Mo,thickness ,ferrite,perlite ,carbides ,martensite ,ausferrite ,austenite ,copper,CLASS,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,SUMA,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,kontrolka,,ferryt,perlit,węgliki,martenzyt,ausferryt,austenit,Wolna miedź,
3.72,2.48,0.04,0,0,0,0,0,3,30,68,2,0,0,0,0,FP,36.38994,65.94146,2.14566,0.11939,0.00427,0.002196,0.000001,104.60291,35,63,2,0,0,0,0,100,,36.38994,65.94146,2.14566,0.11939,0.00427,0.002196,0.000001,104.60291
3.72,2.48,0.04,0,0,0,0,0,6,40,60,0,0,0,0,0,FP,45.73265,62.98508,0.78311,0.13754,0.00120,0.002229,0.000001,109.64181,42,57,1,0,0,0,0,100,,45.73265,62.98508,0.78311,0.13754,0.00120,0.002229,0.000001,109.64181
3.72,2.48,0.04,0,0,0,0,0,12,55,45,0,0,0,0,0,FP,55.81489,53.47450,0.19750,0.17038,0.00009,0.002301,0.000000,109.65965,51,49,0,0,0,0,0,100,,55.81489,53.47450,0.19750,0.17038,0.00009,0.002301,0.000000,109.65965
3.72,2.48,0.04,0,0,0,0,0,24,70,30,0,0,0,0,0,FP,62.46501,35.36957,0.03178,0.20228,0.00000,0.002714,0.000000,98.07135,64,36,0,0,0,0,0,100,,62.46501,35.36957,0.03178,0.20228,0.00000,0.002714,0.000000,98.07135
3.87,2.43,0.27,0,0,0,0,0,3,25,70,5,0,0,0,0,FP,30.29615,54.43753,3.35034,0.08238,0.00017,0.005254,0.000000,88.17182,34,62,4,0,0,0,0,100,,30.29615,54.43753,3.35034,0.08238,0.00017,0.005254,0.000000,88.17182
3.87,2.43,0.27,0,0,0,0,0,6,40,60,0,0,0,0,0,FP,42.91675,54.06947,0.74703,0.09177,0.00006,0.005534,0.000000,97.83061,44,55,1,0,0,0,0,100,,42.91675,54.06947,0.74703,0.09177,0.00006,0.005534,0.000000,97.83061
3.87,2.43,0.27,0,0,0,0,0,12,55,45,0,0,0,0,0,FP,53.55205,48.47273,0.17982,0.10696,0.00001,0.005190,0.000000,102.31677,52,47,0,0,0,0,0,100,,53.55205,48.47273,0.17982,0.10696,0.00001,0.005190,0.000000,102.31677
3.87,2.43,0.27,0,0,0,0,0,24,65,35,0,0,0,0,0,FP,58.22208,36.22752,0.04226,0.10409,0.00000,0.005200,0.000000,94.60115,62,38,0,0,0,0,0,100,,58.22208,36.22752,0.04226,0.10409,0.00000,0.005200,0.000000,94.60115
3.69,2.38,0.58,0,0,0,0,0,3,18,74,8,0,0,0,0,FP,19.65135,75.63242,6.63254,0.02452,0.00216,0.003259,0.000002,101.94625,19,74,7,0,0,0,0,100,,19.65135,75.63242,6.63254,0.02452,0.00216,0.003259,0.000002,101.94625
3.69,2.38,0.58,0,0,0,0,0,6,28,68,4,0,0,0,0,FP,32.14219,75.57252,1.15789,0.02718,0.00062,0.003777,0.000001,108.90418,30,69,1,0,0,0,0,100,,32.14219,75.57252,1.15789,0.02718,0.00062,0.003777,0.000001,108.90418
3.69,2.38,0.58,0,0,0,0,0,12,40,60,0,0,0,0,0,FP,42.92715,71.34629,0.27228,0.03176,0.00006,0.003845,0.000001,114.58138,37,62,0,0,0,0,0,100,,42.92715,71.34629,0.27228,0.03176,0.00006,0.003845,0.000001,114.58138
3.69,2.38,0.58,0,0,0,0,0,24,50,50,0,0,0,0,0,FP,45.14438,59.99411,0.08026,0.03013,0.00000,0.004304,0.000000,105.25319,43,57,0,0,0,0,0,100,,45.14438,59.99411,0.08026,0.03013,0.00000,0.004304,0.000000,105.25319
3.7,2.45,0.89,0,0,0,0,0,3,10,78,12,0,0,0,0,FP,7.12716,70.15671,17.79954,0.02474,0.00002,0.007862,0.000005,95.11603,7,74,19,0,0,0,0,100,,7.12716,70.15671,17.79954,0.02474,0.00002,0.007862,0.000005,95.11603
3.7,2.45,0.89,0,0,0,0,0,6,18,77,5,0,0,0,0,FP,16.30226,73.40947,1.87485,0.02528,0.00001,0.009984,0.000003,91.62186,18,80,2,0,0,0,0,100,,16.30226,73.40947,1.87485,0.02528,0.00001,0.009984,0.000003,91.62186
3.7,2.45,0.89,0,0,0,0,0,12,25,72,3,0,0,0,0,FP,25.67397,73.98049,0.35200,0.02621,0.00000,0.009466,0.000002,100.04214,26,74,0,0,0,0,0,100,,25.67397,73.98049,0.35200,0.02621,0.00000,0.009466,0.000002,100.04214
3.7,2.45,0.89,0,0,0,0,0,24,34.6,65,0.4,0,0,0,0,FP,24.15330,69.54521,0.15105,0.02027,0.00000,0.008209,0.000002,93.87804,26,74,0,0,0,0,0,100,,24.15330,69.54521,0.15105,0.02027,0.00000,0.008209,0.000002,93.87804
4.02,2.33,1.04,0,0,0,0,0,3,4,50,46,0,0,0,0,FP,2.89429,55.15624,48.55001,0.02740,0.00000,0.013256,0.000002,106.64120,3,52,46,0,0,0,0,100,,2.89429,55.15624,48.55001,0.02740,0.00000,0.013256,0.000002,106.64120
4.02,2.33,1.04,0,0,0,0,0,6,7,73,20,0,0,0,0,FP,8.72180,62.82264,9.27491,0.02676,0.00000,0.017251,0.000001,80.86336,11,78,11,0,0,0,0,100,,8.72180,62.82264,9.27491,0.02676,0.00000,0.017251,0.000001,80.86336
4.02,2.33,1.04,0,0,0,0,0,12,19,73,8,0,0,0,0,FP,22.49144,70.82815,0.46463,0.02582,0.00000,0.018187,0.000001,93.82824,24,75,0,0,0,0,0,100,,22.49144,70.82815,0.46463,0.02582,0.00000,0.018187,0.000001,93.82824
4.02,2.33,1.04,0,0,0,0,0,24,27,72.2,0.8,0,0,0,0,FP,21.94854,71.45955,0.19521,0.01942,0.00000,0.012694,0.000001,93.63541,23,76,0,0,0,0,0,100,,21.94854,71.45955,0.19521,0.01942,0.00000,0.012694,0.000001,93.63541
